date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:53:42	169770/169770	---M--	200	added ('OK')	image/jpeg	etag:%228bf387395736112640cb273c7b01eb96-ssl%22	https://frosty-curran-600b4a.netlify.app/img/portfolio4.jpg	E:/my%20work/another%20website%20portfolio/frosty-curran-600b4a.netlify.app/img/portfolio4.jpg	(from https://frosty-curran-600b4a.netlify.app/?fbclid=IwAR2Yp_Yqy_xGWWQyMGAQB830A_8H2vxB1Hvh6OpTmcrhEOd_hXKSZZiUVks)
19:53:43	273039/273039	---M--	200	added ('OK')	image/jpeg	etag:%22c014cae9c19a5f07ec7e6d4d9d1fc3c0-ssl%22	https://frosty-curran-600b4a.netlify.app/img/portfolio3.jpg	E:/my%20work/another%20website%20portfolio/frosty-curran-600b4a.netlify.app/img/portfolio3.jpg	(from https://frosty-curran-600b4a.netlify.app/?fbclid=IwAR2Yp_Yqy_xGWWQyMGAQB830A_8H2vxB1Hvh6OpTmcrhEOd_hXKSZZiUVks)
19:53:43	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:%22d52c2968a681256fe4fe5725f552f289-ssl-df%22	https://frosty-curran-600b4a.netlify.app/js/jquery-3.5.1.min.js	E:/my%20work/another%20website%20portfolio/frosty-curran-600b4a.netlify.app/js/jquery-3.5.1.min.js	(from https://frosty-curran-600b4a.netlify.app/?fbclid=IwAR2Yp_Yqy_xGWWQyMGAQB830A_8H2vxB1Hvh6OpTmcrhEOd_hXKSZZiUVks)
19:53:44	60174/60174	---M-Z	200	added ('OK')	application/javascript	etag:%22f5eb3d62493b7b3c7150d975b17981f9-ssl-df%22	https://frosty-curran-600b4a.netlify.app/js/bootstrap.min.js	E:/my%20work/another%20website%20portfolio/frosty-curran-600b4a.netlify.app/js/bootstrap.min.js	(from https://frosty-curran-600b4a.netlify.app/?fbclid=IwAR2Yp_Yqy_xGWWQyMGAQB830A_8H2vxB1Hvh6OpTmcrhEOd_hXKSZZiUVks)
19:53:45	51/51	---M--	302	error ('Found')	text/plain	date:Mon,%2006%20Jul%202020%2013:54:53%20GMT	https://unpkg.com/aos@next/dist/aos.js	E:/my%20work/another%20website%20portfolio/unpkg.com/aos@next/dist/aos.11.delayed	(from https://frosty-curran-600b4a.netlify.app/?fbclid=IwAR2Yp_Yqy_xGWWQyMGAQB830A_8H2vxB1Hvh6OpTmcrhEOd_hXKSZZiUVks)
19:53:45	13800/13800	---M-Z	200	added ('OK')	application/javascript	etag:W/%2235e8-44lQwbzmXp8EjjBbNWf/kKDJI+M%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.js	E:/my%20work/another%20website%20portfolio/unpkg.com/aos@3.0.0-beta.6/dist/aos.js	(from https://frosty-curran-600b4a.netlify.app/?fbclid=IwAR2Yp_Yqy_xGWWQyMGAQB830A_8H2vxB1Hvh6OpTmcrhEOd_hXKSZZiUVks)
19:53:47	9496/9496	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a05f033f5cc7a0073c8ae9fd0c4cf8f3%22	https://use.fontawesome.com/0f4856bca2.js	E:/my%20work/another%20website%20portfolio/use.fontawesome.com/0f4856bca2.js	(from https://frosty-curran-600b4a.netlify.app/?fbclid=IwAR2Yp_Yqy_xGWWQyMGAQB830A_8H2vxB1Hvh6OpTmcrhEOd_hXKSZZiUVks)
19:53:47	5532/5532	---M-Z	200	added ('OK')	application/javascript	etag:%2233fd73d03b005c05d95eac216d169e07-ssl-df%22	https://frosty-curran-600b4a.netlify.app/js/animate-headline-1.js	E:/my%20work/another%20website%20portfolio/frosty-curran-600b4a.netlify.app/js/animate-headline-1.js	(from https://frosty-curran-600b4a.netlify.app/?fbclid=IwAR2Yp_Yqy_xGWWQyMGAQB830A_8H2vxB1Hvh6OpTmcrhEOd_hXKSZZiUVks)
19:53:48	9463/9463	---M-Z	200	added ('OK')	application/javascript	etag:%2232a30a4f428d17bf17e531e737b12299-ssl-df%22	https://frosty-curran-600b4a.netlify.app/js/progress-chart.js	E:/my%20work/another%20website%20portfolio/frosty-curran-600b4a.netlify.app/js/progress-chart.js	(from https://frosty-curran-600b4a.netlify.app/?fbclid=IwAR2Yp_Yqy_xGWWQyMGAQB830A_8H2vxB1Hvh6OpTmcrhEOd_hXKSZZiUVks)
19:53:50	4953/4953	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd497a-1359%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-modal/0.9.1/jquery.modal.min.js	E:/my%20work/another%20website%20portfolio/cdnjs.cloudflare.com/ajax/libs/jquery-modal/0.9.1/jquery.modal.min.js	(from https://frosty-curran-600b4a.netlify.app/?fbclid=IwAR2Yp_Yqy_xGWWQyMGAQB830A_8H2vxB1Hvh6OpTmcrhEOd_hXKSZZiUVks)
19:53:50	644/644	---M--	200	added ('OK')	application/javascript	etag:%22e1f701b4741d80741f36c1a64fed6350-ssl%22	https://frosty-curran-600b4a.netlify.app/js/app.js	E:/my%20work/another%20website%20portfolio/frosty-curran-600b4a.netlify.app/js/app.js	(from https://frosty-curran-600b4a.netlify.app/?fbclid=IwAR2Yp_Yqy_xGWWQyMGAQB830A_8H2vxB1Hvh6OpTmcrhEOd_hXKSZZiUVks)
19:53:50	2785/2785	---MCZ	404	error ('Not%20Found')	text/html	etag:1593946763-ssl-df	https://frosty-curran-600b4a.netlify.app/fonts/fontawesome-webfont.eot?v=4.7.0	E:/my%20work/another%20website%20portfolio/frosty-curran-600b4a.netlify.app/fonts/fontawesome-webfont3e6e.eot	(from https://frosty-curran-600b4a.netlify.app/css/font-awesome.min.css)
19:53:50	2785/2785	---M-Z	404	error ('Not%20Found')	text/html	etag:1593946763-ssl-df	https://frosty-curran-600b4a.netlify.app/fonts/fontawesome-webfont.eot?	E:/my%20work/another%20website%20portfolio/frosty-curran-600b4a.netlify.app/fonts/fontawesome-webfontd41d.eot	(from https://frosty-curran-600b4a.netlify.app/css/font-awesome.min.css)
19:53:51	2785/2785	---M-Z	404	error ('Not%20Found')	text/html	etag:1593946763-ssl-df	https://frosty-curran-600b4a.netlify.app/fonts/fontawesome-webfont.woff2?v=4.7.0	E:/my%20work/another%20website%20portfolio/frosty-curran-600b4a.netlify.app/fonts/fontawesome-webfont3e6e.woff2	(from https://frosty-curran-600b4a.netlify.app/css/font-awesome.min.css)
19:53:51	1737093/1737093	---M--	200	added ('OK')	image/jpeg	etag:%22344068c25c0bd38fdca774c8721b0eb1-ssl%22	https://frosty-curran-600b4a.netlify.app/img/portfolio6.jpg	E:/my%20work/another%20website%20portfolio/frosty-curran-600b4a.netlify.app/img/portfolio6.jpg	(from https://frosty-curran-600b4a.netlify.app/?fbclid=IwAR2Yp_Yqy_xGWWQyMGAQB830A_8H2vxB1Hvh6OpTmcrhEOd_hXKSZZiUVks)
19:53:51	2785/2785	---M-Z	404	error ('Not%20Found')	text/html	etag:1593946763-ssl-df	https://frosty-curran-600b4a.netlify.app/fonts/fontawesome-webfont.woff?v=4.7.0	E:/my%20work/another%20website%20portfolio/frosty-curran-600b4a.netlify.app/fonts/fontawesome-webfont3e6e.woff	(from https://frosty-curran-600b4a.netlify.app/css/font-awesome.min.css)
19:53:51	2785/2785	---M-Z	404	error ('Not%20Found')	text/html	etag:1593946763-ssl-df	https://frosty-curran-600b4a.netlify.app/fonts/fontawesome-webfont.ttf?v=4.7.0	E:/my%20work/another%20website%20portfolio/frosty-curran-600b4a.netlify.app/fonts/fontawesome-webfont3e6e.ttf	(from https://frosty-curran-600b4a.netlify.app/css/font-awesome.min.css)
19:53:52	2785/2785	---MCZ	404	error ('Not%20Found')	text/html	etag:1593946763-ssl-df	https://frosty-curran-600b4a.netlify.app/fonts/fontawesome-webfont.svg?v=4.7.0	E:/my%20work/another%20website%20portfolio/frosty-curran-600b4a.netlify.app/fonts/fontawesome-webfont3e6e.svg	(from https://frosty-curran-600b4a.netlify.app/css/font-awesome.min.css)
19:53:53	79663/79663	---M--	200	added ('OK')	image/jpeg	etag:%220c02262687a47829156fab03b3eaa7aa-ssl%22	https://frosty-curran-600b4a.netlify.app/img/homepage-img.jpg	E:/my%20work/another%20website%20portfolio/frosty-curran-600b4a.netlify.app/img/homepage-img.jpg	(from https://frosty-curran-600b4a.netlify.app/css/style.css)
